"id","incident_year","incident_month","incident_day","operator_id","operator","aircraft","aircraft_type","aircraft_make","aircraft_model","aircraft_mass","engine_make","engine_model","engines","engine_type","engine1_position","engine2_position","engine3_position","engine4_position","airport_id","airport","state","faa_region","flight_phase","visibility","precipitation","height","speed","distance","species_id","species_name","species_quantity","flight_impact","damaged"
23637,1996,11,7,"MIL","MILITARY","T-1A","A","748",NA,3,31,"1",2,"D",5,5,NA,NA,"KLBB","LUBBOCK PRESTON SMITH INTL ARPT","TX","ASW","LANDING ROLL","DAY",NA,0,80,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
8075,1999,6,26,"UAL","UNITED AIRLINES","B-757-200","A","148",26,4,34,"40",2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,1
5623,2011,12,1,"SWA","SOUTHWEST AIRLINES","B-737-300","A","148",24,4,10,"1",2,"D",1,1,NA,NA,"KOAK","METRO OAKLAND INTL","CA","AWP","LANDING ROLL","DAY","NONE",0,NA,0,"ZT002","WESTERN MEADOWLARK","1","NONE",0
19605,2007,9,13,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,"1",2,"D",1,1,NA,NA,"KSAT","SAN ANTONIO INTL","TX","ASW","APPROACH","NIGHT","NONE",300,130,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
15142,2007,9,13,"MIL","MILITARY","KC-135R","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KGFK","GRAND FORKS INTL","ND","AGL","APPROACH","NIGHT",NA,NA,140,NA,"ZT105","BOBOLINK",NA,NA,0
27235,2013,5,28,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KMDT","HARRISBURG INTL","PA","AEA",NA,NA,NA,NA,NA,0,"YI005","BARN SWALLOW","1",NA,0
12726,2002,5,4,"UAL","UNITED AIRLINES","B-767-300","A","148",97,4,34,"46",2,"D",1,1,NA,NA,"KJFK","JOHN F KENNEDY INTL","NY","AEA","APPROACH",NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
20781,2013,5,19,"BUS","BUSINESS","C-172","A","226",7,1,7,"10",1,"A",7,NA,NA,NA,"KIGQ","LANSING MUNICIPAL ARPT","IL","AGL","DESCENT","NIGHT","FOG",2700,110,NA,"UNKB","UNKNOWN BIRD","1","NONE",0
12153,2015,7,22,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KEWR","NEWARK LIBERTY INTL ARPT","NJ","AEA",NA,NA,NA,NA,NA,0,"O2111","ROCK PIGEON","1",NA,0
3933,2007,8,22,"BUS","BUSINESS","DIAMOND 42","A",NA,NA,1,NA,NA,2,"C",3,3,NA,NA,"KPVU","PROVO MUNICIPAL ARPT","UT","ANM","LANDING ROLL","NIGHT",NA,0,NA,0,"1G12","MULE DEER","1",NA,1
